Date,Open,Low,High,Close,Volume,OI
2019/6/19,292.549988,291.470001,293.649994,293.059998,78674400,0
2019/6/20,296.040009,293.130005,296.309998,295.859985,116570000,0
2019/6/21,294.130005,293.76001,295.519989,294,83309500,0
2019/6/24,294.230011,293.470001,294.579987,293.640015,47582700,0
2019/6/25,293.700012,290.640015,293.730011,290.76001,82028700,0
2019/6/26,291.75,290.350006,292.309998,290.470001,51584900,0
2019/6/27,291.309998,290.890015,292.059998,291.5,40355200,0
2019/6/28,292.579987,292.01001,293.549988,293,59350900,0
2019/7/1,296.679993,294.329987,296.920013,295.660004,78705600,0
2019/7/2,295.609985,294.679993,296.48999,296.429993,61504500,0
2019/7/3,297.179993,297.019989,298.820007,298.799988,40898900,0
2019/7/5,297.440002,296.01001,298.640015,298.459991,51677300,0
2019/7/8,297.01001,296.220001,298.26001,296.820007,45841800,0
2019/7/9,295.540009,295.480011,297.519989,297.190002,41101300,0
2019/7/10,298.369995,297.779999,299.660004,298.609985,58448500,0
2019/7/11,299.320007,298.200012,299.579987,299.309998,50826100,0
2019/7/12,299.850006,299.51001,300.730011,300.649994,40326000,0
2019/7/15,301.130005,300.190002,301.130005,300.75,33900000,0
2019/7/16,300.649994,299.440002,300.880005,299.779999,36650100,0
2019/7/17,299.75,297.73999,299.929993,297.73999,36036300,0
2019/7/18,297.190002,296.700012,299.25,298.829987,51392600,0
2019/7/19,300.040009,296.980011,300.070007,297.170013,58678600,0
2019/7/22,297.609985,297.040009,298.5,297.899994,43638100,0
2019/7/23,299.140015,298.220001,300.029999,300.029999,44564500,0
2019/7/24,299.190002,299.089996,301.440002,301.440002,47213200,0
2019/7/25,300.940002,299.109985,301,300,55394100,0
2019/7/26,300.76001,300.619995,302.230011,302.01001,45084100,0
2019/7/29,301.880005,300.850006,302.01001,301.459991,38126500,0
2019/7/30,299.910004,299.48999,301.170013,300.720001,45849000,0
2019/7/31,300.98999,295.200012,301.200012,297.429993,104245200,0
2019/8/1,297.600006,293.959991,300.869995,294.839996,142646600,0
2019/8/2,293.850006,290.899994,294.119995,292.619995,116749700,0
2019/8/5,288.089996,281.720001,288.209991,283.820007,178745400,0
2019/8/6,285.910004,284.279999,288.040009,287.799988,120711700,0
2019/8/7,284.399994,282.040009,288.820007,287.970001,140572300,0
2019/8/8,289.619995,289.01001,293.619995,293.619995,87713900,0
2019/8/9,292.579987,289.649994,293.23999,291.619995,93730000,0
2019/8/12,289.959991,287.019989,291.609985,288.070007,65527600,0
2019/8/13,287.73999,287.359985,294.149994,292.549988,94299800,0
2019/8/14,288.070007,283.76001,288.73999,283.899994,135622100,0
2019/8/15,284.880005,282.390015,285.640015,284.649994,99556600,0
2019/8/16,286.480011,284.709991,289.329987,288.850006,83018300,0
2019/8/19,292.190002,291.440002,293.079987,292.329987,53571800,0
2019/8/20,291.769989,289.950012,292.359985,290.089996,51596400,0
2019/8/21,292.480011,291.720001,292.859985,292.450012,49524700,0
2019/8/22,293.230011,290.399994,293.929993,292.359985,51666400,0
2019/8/23,290.920013,283.470001,292.76001,284.850006,149161500,0
2019/8/26,287.269989,285.579987,288,288,72423800,0
2019/8/27,289.540009,286.029999,289.950012,286.869995,66668900,0
2019/8/28,286.140015,285.25,289.070007,288.890015,59696700,0
2019/8/29,291.720001,290.609985,293.160004,292.579987,57899400,0
2019/8/30,294.220001,291.420013,294.23999,292.450012,62901200,0
2019/9/3,290.570007,289.269989,291.579987,290.73999,69101400,0
2019/9/4,293.140015,292.309998,294.059998,294.040009,46887300,0
2019/9/5,296.790009,294,298.829987,297.820007,83258100,0
2019/9/6,298.170013,297.420013,298.76001,298.049988,49584300,0
2019/9/9,299.140015,297.160004,299.23999,298.200012,51260300,0
2019/9/10,297.359985,295.970001,298.200012,298.130005,57947100,0
2019/9/11,298.470001,297.75,300.339996,300.25,68821100,0
2019/9/12,301.25,300.410004,302.459991,301.290009,72908700,0
2019/9/13,301.779999,300.679993,302.170013,301.089996,62104800,0
2019/9/16,299.839996,299.450012,301.140015,300.160004,58191200,0
2019/9/17,299.940002,299.75,301.019989,300.920013,41475500,0
2019/9/18,300.48999,298.23999,301.220001,301.100006,73375800,0
2019/9/19,301.529999,300.709991,302.630005,301.079987,76560500,0
2019/9/20,300.359985,297.410004,300.670013,298.279999,89565000,0
2019/9/23,297.549988,297.269989,299,298.209991,43476800,0
2019/9/24,299.410004,294.809998,299.839996,295.869995,94869400,0
